#### UTF-8 
#### 外国人名，中英对照的，大约有4万个
#### 共39687条
#### 来源维基百科(wikipedia), https://github.com/beifeng600

克利斯登·奈加特	Kristen Nygaard
约翰·诺斯洛普	Jack Northrop
诺斯洛普·格鲁门	Northrop Grumman
里洛易·格鲁门	Leroy Grumman
唐纳德·威爾士·道格拉斯	Donald Wills Douglas, Sr.
马克·安东尼	Marcus Antonius
马克·安东尼·奥雷托尔	Marcus Antonius (orator)
亚历山大·格里戈里耶维奇·卢卡申科	Alexander Lukashenko
汉斯-乌尔里希·鲁德尔	Hans-Ulrich Rudel
丹尼尔·克雷格	Daniel Craig
卢恰诺·帕瓦罗蒂	Luciano Pavarotti
托马斯·塞缪·库恩	Thomas Kuhn
阿尔弗雷德·比奈	Alfred Binet
汤玛斯·孔恩	Thomas Kuhn
马力努斯·米歇尔斯	Rinus Michels
迪奥多·羅賽克	Theodore Roethke
亚历山大·尼古拉耶維奇·斯克里亞賓	Alexander Scriabin
伯特兰·羅素	Bertrand Russell
杰丽·莫克	Jerrie Mock
伊戈尔·伊万诺维奇·西科尔斯基	Igor Sikorsky
派翠西亚·凯丝	Patricia Kaas
加文·纽斯萨姆	Gavin Newsom
托玛斯·傑弗遜	Thomas Jefferson
拉瑟福德·B·海斯	Rutherford B. Hayes
卢基乌斯·安东尼	Lucius Antonius (brother of Mark Antony)
卢齐乌斯·安东尼	Lucius Antonius (brother of Mark Antony)
安娜·奈瑞贝科	Anna Netrebko
鲁宾逊·克鲁索	Robinson Crusoe
威廉·费勒	William Feller
艾格尼丝·史沫特莱	Agnes Smedley
罗斯科·庞德	Roscoe Pound
萨蔓塔·史密斯	Samantha Smith
本杰明·N·卡多佐	Benjamin N. Cardozo
小奥利弗·温德尔·霍姆斯	Oliver Wendell Holmes, Jr.
老奥利弗·温德尔·霍姆斯	Oliver Wendell Holmes, Sr.
路易斯·布兰戴斯	Louis Brandeis
佛朗索瓦·布歇	François Boucher
亚历山大·唐納	Alexander Downer
爱德华·霍列特·卡爾	E. H. Carr
爱德华·霍列特·卡尔	E. H. Carr
费利克斯·弗兰克福特	Felix Frankfurter
厄尔·沃伦	Earl Warren
托马斯·杜威	Thomas E. Dewey
威廉·奥斯特瓦尔德	Wilhelm Ostwald
汤·漢斯	Tom Hanks
弗朗索瓦·奥尔良(儒安维尔亲王)	Prince François, Prince of Joinville
路易·腓力	Louis Philippe I
路易·夏尔·腓力·拉斐尔(内穆尔公爵)	Prince Louis, Duke of Nemours
雅克·德·阿马尼亚克	Jacques d'Armagnac, Duke of Nemours
德米特里·米哈伊洛维奇·波扎尔斯基	Dmitry Pozharsky
洛克希德·马丁	Lockheed Martin
马丁·玛丽埃塔	Martin Marietta
洛克西德·马丁公司	Lockheed Martin
瓦西里·伊万诺维奇·叔伊斯基	Vasili IV of Russia
米哈伊尔·罗曼诺夫	Michael I of Russia
库兹马·米宁	Kuzma Minin
莫尼克·莱文斯基	Monica Lewinsky
詹姆斯·布伦丹·博尔格	Jim Bolger
迈克尔·穆尔	Mike Moore (New Zealand politician)
迈克尔·肯尼思·穆尔	Mike Moore (New Zealand politician)
杰弗里·帕尔默	Geoffrey Palmer (politician)
戴维·朗伊	David Lange
杰弗里·温斯顿·拉塞尔·帕尔默	Geoffrey Palmer (politician)
大卫·郎伊	David Lange
杰弗雷·帕默尔	Geoffrey Palmer (politician)
吉姆·博格尔	Jim Bolger
麦克·摩尔	Mike Moore (New Zealand politician)
詹妮·史普莉	Jenny Shipley
托马斯·品钦	Thomas Pynchon
奥古斯丁·路易·柯西	Augustin-Louis Cauchy
埃德蒙德·胡塞爾	Edmund Husserl
阿尔弗雷德·拉德克利夫布朗	Alfred Radcliffe-Brown
弗拉基米尔·莫诺马赫	Vladimir II Monomakh
弗拉基米尔·摩诺马赫	Vladimir II Monomakh
萨缪尔·摩爾斯	Samuel Morse
銮披汶·頌堪	Plaek Pibulsonggram
如果·愛	Perhaps Love (film)
赫尔曼·冯·亥姆霍兹	Hermann von Helmholtz
巴勃罗·毕加索	Pablo Picasso
阿尼巴尔·卡瓦科·席爾瓦	Aníbal Cavaco Silva
亨利·德·土魯斯-羅特列克	Henri de Toulouse-Lautrec
西尔维斯特·史泰龙	Sylvester Stallone
马尔库斯·图留斯·基凯罗	Cicero
费利克斯·门德尔松-巴托尔第	Felix Mendelssohn
菲比·布菲	Phoebe Buffay
罗伯特·马尔登	Robert Muldoon
伊桑巴德·金德姆·布鲁内尔	Isambard Kingdom Brunel
艾萨巴德·金多姆·布努内尔	Isambard Kingdom Brunel
莱奥纳尔多·达芬奇	Leonardo da Vinci
琳·康維	Lynn Conway
威廉·金頓·克利福德	William Kingdon Clifford
弗朗索瓦·库普兰	François Couperin
柏纳·海汀克	Bernard Haitink
安娜·妮塔布柯	Anna Netrebko
杰克·伦敦	Jack London
彼得·盖德	Peter Gade
约翰·F·肯尼迪国际机场	John F. Kennedy International Airport
卡米拉·马尔廷	Camilla Martin
查尔斯·巴貝奇	Charles Babbage
朱尔·博爾代	Jules Bordet
罗兰·巴特	Roland Barthes
艾哈迈德·贾比尔	Ahmed Jibril
让-巴蒂斯特·科爾柏	Jean-Baptiste Colbert
赫尔曼·范·亥姆霍兹	Hermann von Helmholtz
吉米·威尔士	Jimmy Wales
约翰·凡·涅斯特·打马字	John Van Nest Talmage
盖德·穆勒	Gerd Müller
塞普·迈耶	Sepp Maier
约翰·福尔斯	John Fowles
罗马诺·普罗迪	Romano Prodi
若泽·曼努埃尔·杜朗·巴罗索	José Manuel Barroso
哈利·波特与魔法石(游戏)	Harry Potter and the Philosopher's Stone (video game)
哈利·波特与密室(游戏)	Harry Potter and the Chamber of Secrets (video game)
哈利·波特与阿兹卡班的囚徒(游戏)	Harry Potter and the Prisoner of Azkaban (video game)
哈利·波特与火焰杯(游戏)	Harry Potter and the Goblet of Fire (video game)
奥古斯塔·维多莉亚(石勒苏益格-荷尔斯泰因女公爵)	Augusta Victoria of Schleswig-Holstein
奥列格·斯维亚托斯拉维奇(特穆塔拉干)	Oleg I of Chernigov
凯文·基冈	Kevin Keegan
奇云·基謹	Kevin Keegan
维尔伯·莱特	Wright brothers
迈克尔·卡里克	Michael Carrick
芭蒂·巴提	Dumbledore's Army#Parvati_Patil
汤姆斯·潘恩	Thomas Paine
安德鲁·傑克森	Andrew Jackson
班哲明·富蘭克林	Benjamin Franklin
本杰明·富兰克林	Benjamin Franklin
泰迪·舒寧咸	Teddy Sheringham
埃德蒙德·希尔	Edmund Hillary
罗贝尔·皮雷斯	Robert Pirès
戈登·斯特拉坎	Gordon Strachan
罗马诺·普羅迪	Romano Prodi
汉娜·阿伦特	Hannah Arendt
伊丽莎白·鮑斯-萊昂	Queen Elizabeth The Queen Mother
戈兰·伊万尼塞维奇	Goran Ivanišević
叶夫根尼·卡费尔尼科夫	Yevgeny Kafelnikov
古斯塔沃·库尔腾	Gustavo Kuerten
大卫·寶兒	David Bowie
蒙奇·D·魯夫	Monkey D. Luffy
哈尔滨圣·索菲亚教堂	Saint Sophia Cathedral in Harbin
弗谢沃洛德二世·奥利戈维奇	Vsevolod II of Kiev
弗谢沃洛德·奥利戈维奇	Vsevolod II of Kiev
埃里克·施密特	Eric Schmidt
麦特·戴蒙	Matt Damon
班·艾佛列克	Ben Affleck
诺曼·怀特塞德	Norman Whiteside
维亚切斯拉夫·弗拉基米罗维奇	Viacheslav I of Kiev
肯尼·达格利什	Kenny Dalglish
拉夫·阿尔斯通	Rafer Alston
查克·海耶斯	Chuck Hayes
基斯·博甘斯	Keith Bogans
斯特罗迈尔·斯威夫特	Stromile Swift
大卫·韦斯利	David Wesley
鲍勃·苏拉	Bob Sura
沃尔夫冈·阿马丢斯·莫扎特	Wolfgang Amadeus Mozart
波费里奥·迪亚斯	Porfirio Díaz
兹比格涅夫·布热津斯基	Zbigniew Brzezinski
朱万·霍华德	Juwan Howard
迪肯贝·穆托姆博	Dikembe Mutombo
维克托·伊曼纽尔二世	Victor Emmanuel II of Italy
亚历山卓·巴利科	Alessandro Baricco
亨利·刘易斯·史汀生	Henry L. Stimson
内特·罗宾逊	Nate Robinson
奥利弗·克倫威爾	Oliver Cromwell
贾森·基德	Jason Kidd
埃里希·昂納克	Erich Honecker
尼古拉·伊利扎洛夫	Chiang Ching-kuo
阿弗烈·芮克里夫布朗	Alfred Radcliffe-Brown
艾德华·伊凡普理查	E. E. Evans-Pritchard
克劳德·李維史陀	Claude Lévi-Strauss
亨利·德·土魯斯羅特列克	Henri de Toulouse-Lautrec
马克·休斯	Mark Hughes
伯利斯·迪奥	Boris Diaw
史蒂夫·弗朗西斯	Steve Francis
古斯塔夫一世·瓦萨	Gustav I of Sweden
古斯塔夫·瓦萨	Gustav I of Sweden
伊恩·拉什	Ian Rush
弗谢沃洛德·尤里耶维奇	Vsevolod
弗谢沃洛德三世·尤里耶维奇	Vsevolod the Big Nest
麦·迪文	Matt Damon
宾·艾佛力	Ben Affleck
莎莉·譚寶	Shirley Temple
积·尼高遜	Jack Nicholson
荷尔·芭莉	Halle Berry
尊尼·特普	Johnny Depp
添·布頓	Tim Burton
爱德华·維騰	Edward Witten
大卫·鮑伊	David Bowie
阿尔弗雷德·拉德克利夫-布朗	Alfred Radcliffe-Brown
本·华莱士	Ben Wallace
端古·赛义德·西拉杰丁	Sirajuddin of Perlis
罗比·福勒	Robbie Fowler
斯维亚托斯拉夫·弗谢沃洛多维奇(切尔尼戈夫)	Sviatoslav III of Kiev
斯维亚托斯拉夫·弗谢沃洛多维奇	Sviatoslav Vsevolodovich
斯维亚托斯拉夫·弗谢沃洛多维奇(弗拉基米尔)	Sviatoslav III of Vladimir
马克斯·埃曼努埃尔(巴伐利亚)	Prince Max, Duke in Bavaria
萨拉赫丁·阿卜杜勒·阿齐兹·沙阿	Salahuddin of Selangor
端古·加法尔·伊卜尼	Jaafar of Negeri Sembilan
马丁·凡·勃倫	Martin Van Buren
约翰·昆西·亞當斯	John Quincy Adams
金·羅丹貝利	Gene Roddenberry
鲍勃·格爾多夫	Bob Geldof
鲍勃·戈尔多夫	Bob Geldof
艾伯特·霍夫曼	Albert Hofmann
罗杰·潘洛斯	Roger Penrose
亚瑟·埃丁顿	Arthur Eddington
迈克尔·杰弗里·乔丹	Michael Jordan
比尔·罗林	Bill Rowling
华莱士·罗林	Bill Rowling
华莱士·爱德华·罗林	Bill Rowling
查克拉瓦尔蒂·拉贾戈巴拉查理	C. Rajagopalachari
纳拉辛哈·拉奥	P. V. Narasimha Rao
詹姆斯·哈羅德·杜立德	Jimmy Doolittle
罗伯特·清崎	Robert Kiyosaki
萨尔韦斯特罗·德·美第奇	Salvestro de' Medici
帕瓦蒂·帕蒂尔	Dumbledore's Army#Parvati_Patil
乔凡尼·德·美第奇	Giovanni di Bicci de' Medici
贝托尔德·布莱希特	Bertolt Brecht
科西莫·德·美第奇	Cosimo de' Medici
尼古拉斯·斯皮克曼	Nicholas J. Spykman
史蒂文·斯皮尔伯格	Steven Spielberg
艾伦·图林	Alan Turing
米哈伊尔·雅罗斯拉维奇·霍罗布里特	Mikhail Khorobrit
亚历山大·格雷厄姆·贝尔	Alexander Graham Bell
塔拉·利平斯基	Tara Lipinski
克丽斯蒂·山口	Kristi Yamaguchi
南茜·克里根	Nancy Kerrigan
斯科特·汉密尔顿	Scott Hamilton (figure skater)
伊琳娜·斯卢茨卡娅	Irina Slutskaya
玛丽亚·布特尔斯卡娅	Maria Butyrskaya
威廉·加拉	William Gallas
昂布鲁瓦·托马	Ambroise Thomas
康斯坦丁·斯坦尼斯拉夫斯基	Constantin Stanislavski
基夫·修打蘭	Kiefer Sutherland
詹姆·波特	Order of the Phoenix (fiction)#James Potter
托马斯·马萨里克	Tomáš Garrigue Masaryk
爱德华·贝奈斯	Edvard Beneš
姆斯季斯拉夫·姆斯季斯拉维奇	Mstislav Mstislavich
姆斯季斯拉夫·罗曼诺维奇	Mstislav III of Kiev
萨莎·科恩	Sasha Cohen
萨拉·休斯	Sarah Hughes
保罗·卢特思	Paul Lutus
恩格尔贝特·洪佩尔丁克	Engelbert Humperdinck
布鲁斯·阿克曼	Bruce Ackerman
马克·图施奈	Mark Tushnet
罗纳德·德沃金	Ronald Dworkin
约翰·罗尔斯	John Rawls
H·L·A·哈特	H. L. A. Hart
朗·L·富勒	Lon L. Fuller
派翠克·德富林，德富林男爵	Patrick Devlin, Baron Devlin
亚历山大·仲馬	Alexandre Dumas
贝纳迪诺·里瓦达维亚	Bernardino Rivadavia
弗谢沃洛德一世·雅罗斯拉维奇	Vsevolod I of Kiev
弗谢沃洛德·雅罗斯拉维奇	Vsevolod I of Kiev
李察·布蘭遜	Richard Branson
伊贾斯拉夫一世·雅罗斯拉维奇	Iziaslav I of Kiev
保罗·西蒙	Paul Simon
查尔斯·林德伯格三世	Lindbergh kidnapping
伊贾斯拉夫·雅罗斯拉维奇	Iziaslav I of Kiev
麦克唐纳·道格拉斯	McDonnell Douglas
乔治·阿玛尼	Giorgio Armani
法比安·巴尔泰兹	Fabien Barthez
传道·同志	Latter Days
胡安·米羅	Joan Miró
胡安·米罗	Joan Miró
马加什·匈亚提	Matthias Corvinus
卢伊斯·弗德里科·莱洛伊尔	Luis Federico Leloir
胡安·曼努埃尔·德·罗萨斯	Juan Manuel de Rosas
胡斯托·何塞·德·乌尔基萨	Justo José de Urquiza
多明戈·福斯蒂诺·萨米恩托	Domingo Faustino Sarmiento
桑德拉·白齐克	Sandra Bezic
巴托洛梅·米特雷	Bartolomé Mitre
海因茨·古德里安	Heinz Guderian
亚罗波尔克·伊贾斯拉维奇	Yaropolk Izyaslavich
迈克·卢本斯·布隆伯格	Michael Bloomberg
杰克·謝潑德	Jack Shephard
弗拉基米尔·雅罗斯拉维奇(诺夫哥罗德)	Vladimir of Novgorod
勒内·汤姆	René Thom
马加什·科韦努斯	Matthias Corvinus
库尔特·瓦尔德海姆	Kurt Waldheim
鲁道夫·基希施莱格	Rudolf Kirchschläger
迈克尔·海尼施	Michael Hainisch
佩雷斯·德奎利亚尔	Javier Pérez de Cuéllar
海因茨·威廉·古德里安	Heinz Guderian
奥达·伊奧塞里安尼	Otar Iosseliani
妮欧塔·烏蘇拉	Uhura
贾科莫·普契尼	Giacomo Puccini
亨利·贝当	Philippe Pétain
西尔维亚·卡特赖特	Silvia Cartwright
阿南德·萨蒂亚南德	Anand Satyanand
凯瑟琳·蒂泽德	Catherine Tizard
罗斯季斯拉夫一世·姆斯季斯拉维奇	Rostislav I of Kiev
保罗·里夫斯	Paul Reeves
达斯·瓦德	Darth Vader
詹姆斯·杜漢	James Doohan
加布里埃尔·伊万·海因策	Gabriel Heinze
利奥波德·克罗内克	Leopold Kronecker
亚历山大·鲍罗丁	Alexander Borodin
杰米·奧利弗	Jamie Oliver
李察·加逸錫	Richard Krajicek
理察·加逸錫	Richard Krajicek
丹尼尔·奎格	Daniel Craig
伊戈尔二世·奥利戈维奇	Igor II of Kiev
丹尼尔·基克	Daniel Craig
伊戈尔·奥利戈维奇	Igor II of Kiev
蒂莫西·道尔顿	Timothy Dalton
提摩西·達頓	Timothy Dalton
铁摩·達頓	Timothy Dalton
罗杰·摩尔	Roger Moore
罗渣·摩亞	Roger Moore
罗伯特·史坦伯格	Robert Sternberg
罗伯特·史登伯格	Robert Sternberg
佛莱迪·摩克利	Freddie Mercury
布拉姆·斯托克	Bram Stoker
莱翁·彼得拉日茨基	Leon Petrazycki
威廉·H·怀特	William H. Whyte
罗伯特·H·杰克逊	Robert H. Jackson
凡·高	Vincent van Gogh
丹尼斯·勞	Denis Law
丹尼斯·佩特诺夫	Denis Petrov
卡尔-海因茨·鲁梅尼格	Karl-Heinz Rummenigge
丹尼斯·佩特諾夫	Denis Petrov
奥列格·雅罗斯拉维奇	Oleg Yaroslavich
佛莱迪·摩克里	Freddie Mercury
约瑟夫·普立茲	Joseph Pulitzer
佐治·拉辛比	George Lazenby
乔治·拉贊貝	George Lazenby
乔治·拉兹比	George Lazenby
艾丽斯·保爾	Alice Paul
露西·伯恩	Lucy Burns
特里布文·比尔·比克拉姆·沙阿	Tribhuvan of Nepal
马亨德拉·比尔·比克拉姆·沙阿·德瓦	Mahendra of Nepal
比兰德拉·比尔·比克拉姆·沙阿·德瓦	Birendra of Nepal
迪潘德拉·比尔·比克拉姆·沙阿·德瓦	Dipendra of Nepal
卡洛·戈齊	Carlo Gozzi
伊贾斯拉夫·弗拉基米罗维奇(波洛茨克)	Izyaslav of Polotsk
大卫·吉诺拉	David Ginola
保罗·麦格拉斯	Paul McGrath (footballer)
莱斯·费迪南德	Les Ferdinand
杰罗姆·弗兰克	Jerome Frank (lawyer)
本杰明·卡多佐	Benjamin N. Cardozo
汉斯·凯尔森	Hans Kelsen
汉斯·季默	Hans Zimmer
戴维·普拉特	David Platt (footballer)
奥古斯丁·德·伊图尔维德	Agustín de Iturbide
阿古斯丁·德·伊图尔维德	Agustín de Iturbide
保罗·加索尔	Pau Gasol
理查德·溫特斯	Richard Winters
加里·帕莱斯特	Gary Pallister
彼德·希尔顿	Peter Shilton
让-雅克·高德曼	Jean-Jacques Goldman
海蒂·拉玛	Hedy Lamarr
斯维亚托斯拉夫二世·雅罗斯拉维奇	Sviatoslav II of Kiev
巴拿赫·塔斯基悖论	Banach–Tarski paradox
乔瓦尼·阿涅利	Giovanni Agnelli
毕·彼特	Brad Pitt
珍妮花·安妮絲頓	Jennifer Aniston
布莱德·彼特	Brad Pitt
安祖莲娜·祖莉	Angelina Jolie
布拉德·彼特	Brad Pitt
卡尔·豪斯霍弗爾	Karl Haushofer
托尼·沃科克	Tony Woodcock
鲁宾·華倫	Robin Warren
阿道夫·阿布拉莫維奇·越飛	Adolph Joffe
伊恩·拉甚	Ian Rush
肯尼·达格利甚	Kenny Dalglish
班瓦·孟德伯	Benoit Mandelbrot
朱塞佩·威爾第	Giuseppe Verdi
格列布·弗谢斯拉维奇	Gleb Vseslavich
埃德加·博登海默	Edgar Bodenheimer
奥斯卡·扎里斯基	Oscar Zariski
塞斯克·法比加斯	Cesc Fàbregas
彼得·杜拉克	Peter Drucker
伊扎克·帕尔曼	Itzhak Perlman
斯皮尔·利兹·凯洛格	Spear, Leeds & Kellogg
斯皮尔·利茲·凱洛格	Spear, Leeds & Kellogg
勒恩德·汉德	Learned Hand
诺伯特·維納	Norbert Wiener
爱克发·吉華集團	Agfa-Gevaert
塞西尔·罗兹	Cecil Rhodes
卡尔·馬克思	Karl Marx
列卡度·哥利斯馬	Ricardo Quaresma
基斯杜化·李夫	Christopher Reeve
约翰·懷斯	John Arne Riise
亚伦·本·以利亞	Aaron ben Elijah
汤马斯·佛里曼	Thomas Friedman
李察·溫頓斯	Richard Winters
马克西米连·尤利西斯·布勞恩	Maximilian Ulysses Browne
理查·溫特斯	Richard Winters
林登·詹森	Lyndon B. Johnson
乔治·斯内尔	George Davis Snell
托马斯·汤森·布朗	Thomas Townsend Brown
杰克·查尔顿	Jack Charlton
让·加斯東·達布	Jean Gaston Darboux
汉斯·恩斯特·卡爾·冯·齊騰	Hans Joachim von Zieten
亚历山大·麦肯齐	Alexander Mackenzie
查理·亞歷山大(洛林)	Prince Charles Alexander of Lorraine
恩斯特·策梅洛	Ernst Zermelo
爱德蒙德·希拉里	Edmund Hillary
巴克敏斯特·富勒	Buckminster Fuller
R·巴克敏斯特·富勒	Buckminster Fuller
索杰纳·特鲁思	Sojourner Truth
吉曼·基爾	Germaine Greer
格罗·哈莱姆·布伦特兰	Gro Harlem Brundtland
阿梅莉亚·埃尔哈特	Amelia Earhart
埃玛·戈尔德曼	Emma Goldman
埃莉诺·罗斯福	Eleanor Roosevelt
米尔顿·佛利民	Milton Friedman
哈里艾特·塔布曼	Harriet Tubman
玛丽·巴雷特·戴尔	Mary Dyer
尼格尔·勞森	Nigel Lawson
米尔顿·弗里德曼	Milton Friedman
尼格尔·劳森	Nigel Lawson
乔万尼·薄伽丘	Giovanni Boccaccio
史蒂夫·纳什	Steve Nash
安东尼·艾登	Anthony Eden
保罗·斯科尔斯	Paul Scholes
贝多伊齐·斯美塔那	Bedřich Smetana
汉斯·冯·列瓦尔德	Hans von Lehwaldt
弗里德里希·威廉·冯·塞德利茨	Friedrich Wilhelm von Seydlitz
里卡多·夸雷斯马	Ricardo Quaresma
旃陀罗·笈多一世	Chandragupta I
哈雷德·博尔格蒂	Jared Borgetti
加夫列尔·伊万·海因策	Gabriel Heinze
利奥波德·約瑟夫·馮·道恩	Count Leopold Joseph von Daun
萨缪尔·贝克特	Samuel Beckett
蒙奇·Ｄ·路飞	Monkey D. Luffy
威廉·塔夫脱	William Howard Taft
托马斯·沙夫	Thomas Schaaf
米罗斯拉夫·克洛斯	Miroslav Klose
雅罗斯拉夫·斯维亚托斯拉维奇	Konstantin of Murom
汉弗莱·鲍嘉	Humphrey Bogart
洛克希德·马丁公司	Lockheed Martin
诺思罗普·格鲁门	Northrop Grumman
诺斯罗普·格鲁门	Northrop Grumman
腓特烈·威廉四世	Frederick William IV of Prussia
保罗·加斯科因	Paul Gascoigne
威尔弗雷德·歐文	Wilfred Owen
玛丽亚·卡拉絲	Maria Callas
玛丽亚·卡拉丝	Maria Callas
詹姆斯·布朗特	James Blunt
路德维希·玻耳兹曼	Ludwig Boltzmann
布莱恩·罗布森	Bryan Robson
安迪·科尔	Andrew Cole
山德罗·波提切利	Sandro Botticelli
托尼·亚当斯	Tony Adams (footballer)
李·夏普	Lee Sharpe
格伦·霍德尔	Glenn Hoddle
昂利·勒貝格	Henri Lebesgue
仙妮亚·唐恩	Shania Twain
德西德里乌斯·伊拉斯谟	Desiderius Erasmus
阿尔弗雷德·德雷富斯	Alfred Dreyfus
迈赫迪·马达维基亚	Mehdi Mahdavikia
圣若翰·喇沙	Jean-Baptiste de La Salle
亨德里克·洛伦茨	Hendrik Lorentz
皮埃尔·瓦里尼翁	Pierre Varignon
巴鲁赫·斯宾诺莎	Baruch Spinoza
德怀特·艾森豪	Dwight D. Eisenhower
玛格丽特·贝克特	Margaret Beckett
波特·戈斯	Porter Goss
姆斯季斯拉夫·弗拉基米罗维奇(切尔尼戈夫)	Mstislav of Chernigov
姆斯季斯拉夫·弗拉基米罗维奇(特穆塔拉干)	Mstislav of Chernigov
穆·拉·福拉卡	List of Mobile Suit Gundam SEED characters#Mu_La_Flaga
迪安卡·艾斯曼	List of Mobile Suit Gundam SEED characters#Dearka Elsman
哈维尔·伊鲁埃塔	Javier Irureta
拉夫·舒馬克	Ralf Schumacher
麦可·舒馬赫	Michael Schumacher
佩尔西·戴康尼斯	Persi Diaconis
活地·亞倫	Woody Allen
于尔根·克林斯曼	Jürgen Klinsmann
詹姆斯·布萊爾	James Blair (Virginia)
彼得·舒梅切尔	Peter Schmeichel
赫尔曼·艾宾浩斯	Hermann Ebbinghaus
里斯·威瑟斯庞	Reese Witherspoon
扬·弗美尔	Johannes Vermeer
梅赫梅特·绍尔	Mehmet Scholl
尚·連奴	Jean Reno
约翰·麥肯羅	John McEnroe
约翰·麦肯罗	John McEnroe
安娜·苏菲·穆特	Anne-Sophie Mutter
凯特·奧斯頓	Kate Austen
奥云·夏格維斯	Owen Hargreaves
阿巴斯·奇亞羅斯塔米	Abbas Kiarostami
尚·雷諾	Jean Reno
东尼·阿當斯	Tony Adams (footballer)
哈利·基維爾	Harry Kewell
保罗·馬甸尼	Paolo Maldini
马高·馬特拉斯	Marco Materazzi
朗·侯活	Ron Howard
约翰·班維爾	John Banville
亨利·溫特斯·路思義	Henry W. Luce
艾萨克·巴甚維斯·辛格	Isaac Bashevis Singer
赫尔曼·格拉斯曼	Hermann Grassmann
迈克尔·赫塞尔廷	Michael Heseltine
斯文·約蘭·艾歷臣	Sven-Göran Eriksson
斯文·约兰·埃里克松	Sven-Göran Eriksson
斯文-约兰·埃里克松	Sven-Göran Eriksson
坎娣丝·伯根	Candice Bergen
罗伯特·路易斯·史蒂文森	Robert Louis Stevenson
艾萨克·巴什维斯·辛格	Isaac Bashevis Singer
旺加里·马塔伊	Wangari Maathai
弗理德理西·亞歷山大大學	University of Erlangen-Nuremberg
卡洛斯·费雷罗	Juan Carlos Ferrero
保罗·兰格尔翰斯	Paul Langerhans
阿里·哈恩	Arie Haan
莱奥·本哈克	Leo Beenhakker
康斯坦丁·弗谢沃洛多维奇	Konstantin of Rostov
弗谢沃洛德·姆斯季斯拉维奇	Vsevolod Mstislavich
约翰·威廉姆·沃特豪斯	John William Waterhouse
道格拉斯·韓達德	Douglas Hurd
纪伯伦·哈利勒·纪伯伦	Kahlil Gibran
布鲁诺·冈茨	Bruno Ganz
乔治·赫伯特·沃克·布殊	George H. W. Bush
约翰·阿伯特	John Abbott
米路·吉遜	Mel Gibson
阿布·加法尔·阿卜杜拉·曼苏尔·本·穆罕默德	Al-Mansur
阿布·阿卜杜拉·穆罕默德·阿明·本·哈伦	Al-Amin
哈伦·拉希德	Harun al-Rashid
彼得·威廉·波塔	P. W. Botha
保罗·安卡	Paul Anka
芭黎丝·希爾頓	Paris Hilton
弗兰克·苏	Frank Soo
约翰·斯米伯特	John Smybert
赛门·拉圖	Simon Rattle
哈科沃·阿本斯·古斯曼	Jacobo Árbenz
贾斯廷·加特林	Justin Gatlin
弗雷和乔治·衛斯理	Dumbledore's Army#Fred and George Weasley
奥斯卡·贝尔赫	Óscar Berger
阿尔瓦罗·恩里克·阿尔苏·伊里戈延	Álvaro Arzú
茉莉·衛斯理	Ron Weasley#Family
纽尼·沙軒	Nuri Şahin
约翰·艾佛雷特·米萊	John Everett Millais
但丁·加百列·羅塞蒂	Dante Gabriel Rossetti
但丁·加百利·羅塞蒂	Dante Gabriel Rossetti
但丁·加百列·罗塞蒂	Dante Gabriel Rossetti
约翰·艾佛雷特·米莱	John Everett Millais
埃里希·萊因斯多夫	Erich Leinsdorf
爱新觉罗·慧生	Huisheng
亚历山大·卡特來特	Alexander Cartwright
迪克·艾德沃卡特	Dick Advocaat
瓦西里科·康斯坦丁诺维奇	Vasilko Konstantinovich
艾迪·墨菲	Eddie Murphy
让·雷诺	Jean Reno
威廉·霍爾曼·亨特	William Holman Hunt
琳娜·梅迪納	Lina Medina
约翰尼斯·迪德里克·范·德·瓦尔斯	Johannes Diderik van der Waals
汤玛斯·杰弗逊	Thomas Jefferson
吉安弗兰科·佐拉	Gianfranco Zola
雅娜·卡爾芒	Jeanne Calment
约翰·多恩	John Donne
卡尔·桑德堡	Carl Sandburg
约翰·韋恩	John Wayne
法利·德昂	Finley Peter Dunne
基里尔·康德拉辛	Kirill Kondrashin
弗拉基米尔·弗谢沃洛多维奇·莫诺马赫	Vladimir II Monomakh
梅纳西·索加瓦雷	Manasseh Sogavare
爱德蒙·蘭道	Edmund Landau
腓特烈·諾斯，諾斯勳爵	Frederick North, Lord North
文生·梵谷	Vincent van Gogh
罗伯·摩斯	Robert Moses
迈尔康·福布斯	Malcolm Forbes
罗伯特·梅納德·哈欽斯	Robert Maynard Hutchins
阿尔弗雷德·諾思·懷特黑德	Alfred North Whitehead
托马斯·阿奎納	Thomas Aquinas
穆斯塔法·凯穆尔·阿塔图尔克	Mustafa Kemal Atatürk
杰奎琳·考克倫	Jacqueline Cochran
国际葡萄·葡萄酒组织	International Organisation of Vine and Wine
拉克希米·米塔尔	Lakshmi Mittal
菲丝·希爾	Faith Hill
费丝·希尔	Faith Hill
碧姬·芭铎	Brigitte Bardot
玛塔·阿格麗希	Martha Argerich
埃迪·墨菲	Eddie Murphy
尼古拉·阿内尔卡	Nicolas Anelka
堪富利·寶格	Humphrey Bogart
延斯·莱曼	Jens Lehmann
伊恩·萊特	Ian Wright (disambiguation)
伊恩·莱特	Ian Wright (disambiguation)
汤·芬尼	Tom Finney
马塞尔·扬森	Marcell Jansen
